FlightDate,Origin,DepDelay,ArrDelay,CRSElapsedTime,ActualElapsedTime
1994-11-01,SLC,6,8,121,123
1994-11-02,SLC,15,26,119,130
1994-11-03,SLC,5,5,118,118
1994-11-04,SLC,7,9,118,120
1994-11-05,SLC,7,8,119,120
1994-11-06,SLC,5,3,119,117
1994-11-07,SLC,6,7,119,120
1994-11-08,SLC,4,4,118,119
1994-11-09,SLC,7,11,119,123
1994-11-10,SLC,5,9,119,123
1994-11-11,SLC,3,3,119,119
1994-11-12,SLC,8,13,121,125
1994-11-13,SLC,16,21,118,123
1994-11-14,SLC,4,4,119,119
1994-11-15,SLC,4,3,119,118
1994-11-16,SLC,17,30,120,133
1994-11-17,SLC,20,31,120,131
1994-11-18,SLC,17,19,117,118
1994-11-19,SLC,5,3,119,117
1994-11-20,SLC,7,11,119,123
1994-11-21,SLC,10,10,120,120
1994-11-22,SLC,10,7,119,116
1994-11-23,SLC,4,2,119,117
1994-11-24,SLC,4,0,118,112
1994-11-25,SLC,8,12,122,127
1994-11-26,SLC,14,16,120,122
1994-11-27,SLC,14,18,118,122
1994-11-28,SLC,17,20,119,122
1994-11-29,SLC,12,13,121,121
1994-11-30,SLC,5,3,120,118
1994-12-01,SLC,3,4,119,120
1994-12-02,SLC,3,3,119,119
1994-12-03,SLC,6,6,121,121
1994-12-04,SLC,7,8,119,119
1994-12-05,SLC,14,13,118,116
1994-12-06,SLC,9,14,117,121
1994-12-07,SLC,9,10,118,119
1994-12-08,SLC,12,12,118,118
1994-12-09,SLC,7,5,120,118
1994-12-10,SLC,2,1,118,117
1994-12-11,SLC,4,2,119,117
1994-12-12,SLC,3,1,120,118
1994-12-13,SLC,37,69,118,150
1994-12-14,SLC,15,17,119,120
1994-12-15,SLC,14,14,122,122
1994-12-16,SLC,13,11,120,118
1994-12-17,SLC,12,8,120,117
1994-12-18,SLC,6,6,121,121
1994-12-19,SLC,7,6,120,119
1994-12-20,SLC,9,9,121,121
1994-12-21,SLC,12,13,121,122
1994-12-22,SLC,13,14,122,123
1994-12-23,SLC,14,15,120,121
